shanten_after_discard,player_count,player_median_of_medians_s,player_mean_of_medians_s,player_sd_of_medians_s,player_iqr_of_medians_s,player_min_median_s,player_max_median_s
0,58,1.3961540000000001,1.3817042241379311,0.535661704058169,0.761951625,0.7185635,2.8640974999999997
1,58,2.46418175,2.6396903448275855,0.7142278599456875,0.8001312499999997,1.664273,5.291576
2,58,2.3943195,2.4634210775862075,0.5082838501333713,0.7644478749999997,1.581774,3.6947574999999997
3,58,2.1763102500000002,2.289256336206896,0.595271498973356,0.7990025000000001,1.3989194999999999,3.8372669999999998
4,55,1.957544,2.2879999,0.894540420798353,0.9824527500000004,0.8946265,6.351667
