shanten_after_discard,n,mean_s,median_s,p25_s,p75_s,p90_s,p99_s
0,6973,1.8622299756202496,1.043611,0.6994199999999999,2.0530459999999997,4.0943748,10.756414479999979
1,11956,3.3584259158581466,2.4762844999999998,1.6982697500000001,4.18126425,6.751938,12.38678370000001
2,12428,3.1024158797071126,2.3596655,1.6504835,3.76485125,6.041546600000002,11.22325067999999
3,7027,2.727175913903515,2.122102,1.536552,3.3097449999999995,4.9930926,9.719441999999995
4,2155,2.623944909976798,2.015397,1.4440585,3.1239105,4.753468800000001,11.423004340000006
