player_name,n,room_class_main,room_class_main_n,shanten_bins,spearman_shanten_vs_thinking_s,spearman_shanten_vs_log1p_thinking_s,pearson_shanten_vs_log1p_thinking_s,thinking_median_s,thinking_mean_s,thinking_p90_s,median_s_slope_per_shanten,median_s_range_across_shanten,median_s_cv_across_shanten,near_ready_delta_s,n_by_shanten_json,median_s_by_shanten_json,p90_s_by_shanten_json,hanchan_count,hanchan_room_class_main,hanchan_room_class_main_n,table_affiliation,hanchan_room_class_counts_json
桃李言わざれども,89,特上卓,89,5,0.18135975037358198,0.18135975037358198,0.1412542783084542,1.852655,2.2336035617977528,4.3703672000000005,-0.04281755000000009,0.6195390000000001,0.1329873258648395,0.3638334999999999,"{""0"": 28, ""1"": 22, ""2"": 24, ""3"": 14, ""4"": 1}","{""0"": 1.558, ""1"": 1.957, ""2"": 2.078, ""3"": 1.727, ""4"": 1.459}","{""0"": 3.31, ""1"": 5.195, ""2"": 4.406, ""3"": 2.473, ""4"": 1.459}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
正氣十足,89,特上卓,89,5,0.18795712637027595,0.18795712637027595,0.23418597704792496,2.46056,2.926700449438202,5.2306394,0.36765664999999964,1.9184624999999995,0.3337779942269448,-0.2691402499999995,"{""0"": 3, ""1"": 27, ""2"": 26, ""3"": 18, ""4"": 15}","{""0"": 0.741, ""1"": 2.247, ""2"": 2.621, ""3"": 2.66, ""4"": 2.373}","{""0"": 2.11, ""1"": 3.767, ""2"": 5.113, ""3"": 6.463, ""4"": 3.715}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
Bomzhong,88,特上卓,88,5,0.12564065364975097,0.12564065364975097,0.14042102545402022,2.3205270000000002,2.671190636363636,4.1896248,0.18481509999999976,1.4863280000000003,0.23568015537712042,0.4579070000000005,"{""0"": 11, ""1"": 31, ""2"": 28, ""3"": 11, ""4"": 7}","{""0"": 1.288, ""1"": 2.774, ""2"": 2.167, ""3"": 2.067, ""4"": 2.565}","{""0"": 1.455, ""1"": 5.323, ""2"": 3.518, ""3"": 5.016, ""4"": 3.685}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
skybit,88,特上卓,88,5,-0.177197495460589,-0.177197495460589,-0.2013855728348116,2.500757,3.354698659090909,6.3437598999999985,-0.18308630000000042,1.2871795000000001,0.18532445795264976,0.42158525000000036,"{""0"": 11, ""1"": 21, ""2"": 36, ""3"": 14, ""4"": 6}","{""0"": 2.514, ""1"": 2.319, ""2"": 3.008, ""3"": 2.074, ""4"": 1.721}","{""0"": 8.162, ""1"": 5.838, ""2"": 7.174, ""3"": 3.3, ""4"": 2.847}",2,鳳凰卓,1,鳳凰卓 (1/2半荘),"{""特上卓"": 1, ""鳳凰卓"": 1}"
皆蔵トマル,87,特上卓,87,5,0.09827761802468582,0.09827761802468582,0.11474559183978858,2.495739,3.1757837126436788,5.682277000000002,0.14909680000000003,2.05403,0.34473615602984614,0.3304520000000002,"{""0"": 10, ""1"": 21, ""2"": 25, ""3"": 25, ""4"": 6}","{""0"": 1.024, ""1"": 2.549, ""2"": 3.078, ""3"": 2.787, ""4"": 1.65}","{""0"": 2.574, ""1"": 6.162, ""2"": 4.7, ""3"": 5.733, ""4"": 2.263}",4,特上卓,4,特上卓 (4/4半荘),"{""特上卓"": 4}"
せんざんこうさん,86,特上卓,86,5,0.2934674884723313,0.2934674884723313,0.23968801153150399,2.5536955,2.8864529767441858,4.440659,0.41892594999999994,2.2090690000000004,0.26939573465024363,-0.3096060000000005,"{""0"": 21, ""1"": 32, ""2"": 16, ""3"": 15, ""4"": 2}","{""0"": 1.427, ""1"": 2.788, ""2"": 2.695, ""3"": 2.559, ""4"": 3.636}","{""0"": 4.137, ""1"": 6.027, ""2"": 3.7, ""3"": 4.434, ""4"": 3.851}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
シゲルペペ,86,特上卓,86,5,0.21509976318393215,0.21509976318393215,0.2711650638003502,1.7612405,1.8999514186046509,2.731053,0.22491339999999982,1.1003694999999998,0.23572957579099466,-0.09774499999999997,"{""0"": 12, ""1"": 29, ""2"": 26, ""3"": 15, ""4"": 4}","{""0"": 0.923, ""1"": 1.876, ""2"": 1.679, ""3"": 1.925, ""4"": 2.024}","{""0"": 2.252, ""1"": 2.568, ""2"": 2.933, ""3"": 3.682, ""4"": 2.334}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
綿雪,86,特上卓,86,5,-0.04168502759357296,-0.04168502759357296,-0.13934046540641043,2.1993865,2.981757627906977,5.375445,0.0682199499999999,1.084273,0.19604889028507058,0.4011912500000001,"{""0"": 9, ""1"": 36, ""2"": 20, ""3"": 12, ""4"": 9}","{""0"": 1.435, ""1"": 2.519, ""2"": 2.387, ""3"": 2.401, ""4"": 1.835}","{""0"": 8.108, ""1"": 6.497, ""2"": 3.727, ""3"": 4.043, ""4"": 3.671}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
こいきき,85,特上卓,85,4,-0.0006312695221458606,-0.0006312695221458606,-0.010309392214737432,1.731037,2.2419264117647058,3.3607542000000015,-0.03468069999999974,0.5460799999999999,0.13455337723813426,0.51993,"{""0"": 17, ""1"": 45, ""2"": 18, ""3"": 5}","{""0"": 1.461, ""1"": 2.007, ""2"": 1.582, ""3"": 1.487}","{""0"": 3.099, ""1"": 3.488, ""2"": 2.553, ""3"": 3.096}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
欧陽,85,特上卓,85,5,0.1285141598855528,0.1285141598855528,0.18987956357951435,2.996343,3.545662435294117,7.153079800000002,0.8695938999999998,5.5497955,0.5249351217951839,0.6717804999999997,"{""0"": 8, ""1"": 15, ""2"": 35, ""3"": 26, ""4"": 1}","{""0"": 0.802, ""1"": 5.292, ""2"": 3.182, ""3"": 2.888, ""4"": 6.352}","{""0"": 2.941, ""1"": 8.703, ""2"": 5.678, ""3"": 6.882, ""4"": 6.352}",3,特上卓,1,特上卓 (1/3半荘),"{""不明"": 2, ""特上卓"": 1}"
馬老C,83,特上卓,83,5,0.07955239112077823,0.07955239112077823,0.045649252010378776,2.2665569999999997,2.7792047349397597,4.284319600000001,0.2403068499999996,1.3389125000000002,0.18756633860518213,-0.1677237500000004,"{""0"": 20, ""1"": 20, ""2"": 17, ""3"": 22, ""4"": 4}","{""0"": 1.879, ""1"": 2.607, ""2"": 2.148, ""3"": 2.333, ""4"": 3.218}","{""0"": 4.035, ""1"": 5.198, ""2"": 3.772, ""3"": 3.406, ""4"": 6.118}",2,特上卓,2,特上卓 (2/2半荘),"{""特上卓"": 2}"
きんたまに咲く花,81,特上卓,81,5,0.1382367118171602,0.1382367118171602,0.06592319385415811,1.435768,1.9727793703703704,3.60252,0.0941992999999999,0.8275005000000001,0.20454792940818828,0.21367800000000003,"{""0"": 13, ""1"": 17, ""2"": 24, ""3"": 23, ""4"": 4}","{""0"": 0.894, ""1"": 1.664, ""2"": 1.721, ""3"": 1.409, ""4"": 1.493}","{""0"": 1.414, ""1"": 5.441, ""2"": 4.113, ""3"": 2.217, ""4"": 1.904}",3,特上卓,3,特上卓 (3/3半荘),"{""特上卓"": 3}"
