player_name,n,room_class_main,room_class_main_n,shanten_bins,spearman_shanten_vs_thinking_s,spearman_shanten_vs_log1p_thinking_s,pearson_shanten_vs_log1p_thinking_s,thinking_median_s,thinking_mean_s,thinking_p90_s,median_s_slope_per_shanten,median_s_range_across_shanten,median_s_cv_across_shanten,near_ready_delta_s,n_by_shanten_json,median_s_by_shanten_json,p90_s_by_shanten_json,hanchan_count,hanchan_room_class_main,hanchan_room_class_main_n,table_affiliation,hanchan_room_class_counts_json
mlicca,124,特上卓,124,5,0.05737207981620338,0.05737207981620338,0.14807398361002985,2.9894245,3.2407524758064516,5.0922141000000005,-0.17868445000000005,2.1023324999999997,0.266073705558554,1.3070034999999995,"{""0"": 23, ""1"": 32, ""2"": 32, ""3"": 36, ""4"": 1}","{""0"": 2.282, ""1"": 3.747, ""2"": 2.846, ""3"": 3.236, ""4"": 1.645}","{""0"": 4.008, ""1"": 6.648, ""2"": 4.644, ""3"": 4.507, ""4"": 1.645}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
yoshipin,124,特上卓,124,5,0.00879841063987369,0.00879841063987369,0.028577269014425987,2.049779,2.8304587499999996,5.1065069,0.10022255000000013,2.3597235000000003,0.37594668523132,1.2111925000000001,"{""0"": 9, ""1"": 32, ""2"": 53, ""3"": 21, ""4"": 9}","{""0"": 0.811, ""1"": 3.171, ""2"": 2.061, ""3"": 2.043, ""4"": 1.876}","{""0"": 1.117, ""1"": 5.128, ""2"": 5.81, ""3"": 4.395, ""4"": 3.06}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
MrIndigo,121,特上卓,121,5,0.10828895748086369,0.10828895748086369,0.1276412075105991,2.214683,2.533162132231405,4.380283,0.06017139999999995,1.026101,0.18487096280337018,0.3240659999999995,"{""0"": 16, ""1"": 27, ""2"": 56, ""3"": 16, ""4"": 6}","{""0"": 1.417, ""1"": 2.301, ""2"": 2.444, ""3"": 2.17, ""4"": 1.784}","{""0"": 2.546, ""1"": 4.716, ""2"": 4.387, ""3"": 3.317, ""4"": 2.125}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
かず坊,120,特上卓,120,5,0.06989747815940592,0.06989747815940592,0.08487523656363558,3.183887,3.5999505,6.265475100000001,0.07405644999999964,0.5666840000000004,0.05867440675686064,-0.11492424999999962,"{""0"": 22, ""1"": 29, ""2"": 28, ""3"": 36, ""4"": 5}","{""0"": 2.864, ""1"": 3.075, ""2"": 3.431, ""3"": 3.217, ""4"": 3.164}","{""0"": 4.542, ""1"": 6.491, ""2"": 6.347, ""3"": 5.527, ""4"": 3.482}",2,特上卓,1,特上卓 (1/2半荘),"{""不明"": 1, ""特上卓"": 1}"
怪我の功名,120,特上卓,120,5,0.31608166677149513,0.31608166677149513,0.3072643781590851,1.960509,2.598336625,4.911081800000001,0.2426330500000001,1.509725,0.29096318874480065,0.06556949999999984,"{""0"": 16, ""1"": 43, ""2"": 55, ""3"": 4, ""4"": 2}","{""0"": 0.819, ""1"": 2.047, ""2"": 2.329, ""3"": 1.813, ""4"": 2.149}","{""0"": 1.89, ""1"": 4.962, ""2"": 5.106, ""3"": 2.544, ""4"": 2.775}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
しんせんじにく,119,特上卓,119,5,-0.19313841082777913,-0.19313841082777913,-0.11722833632388396,1.954037,2.263742680672269,3.4974336,-0.12946505000000008,0.4738589999999998,0.09707334702718794,0.36705049999999995,"{""0"": 28, ""1"": 32, ""2"": 32, ""3"": 20, ""4"": 7}","{""0"": 2.201, ""1"": 2.114, ""2"": 1.882, ""3"": 1.767, ""4"": 1.727}","{""0"": 2.705, ""1"": 3.681, ""2"": 3.613, ""3"": 2.521, ""4"": 2.235}",2,特上卓,1,特上卓 (1/2半荘),"{""不明"": 1, ""特上卓"": 1}"
たこるん,119,特上卓,119,4,0.0722417047904617,0.0722417047904617,0.06291872027555866,2.5578649999999996,2.7564386638655463,4.389979,0.2805877499999998,1.307734,0.2183171895768874,0.1672625000000001,"{""0"": 11, ""1"": 46, ""2"": 45, ""3"": 17}","{""0"": 1.433, ""1"": 2.433, ""2"": 2.741, ""3"": 2.266}","{""0"": 3.501, ""1"": 4.502, ""2"": 4.463, ""3"": 2.885}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
天江衣,119,特上卓,119,5,0.29394018720480247,0.29394018720480247,0.28702278403246684,2.2775100000000004,2.92343050420168,5.9163832,0.31371280000000007,2.3246700000000002,0.33821573748049344,0.5042880000000003,"{""0"": 20, ""1"": 24, ""2"": 48, ""3"": 19, ""4"": 8}","{""0"": 0.837, ""1"": 3.161, ""2"": 2.402, ""3"": 2.656, ""4"": 2.658}","{""0"": 2.379, ""1"": 7.153, ""2"": 5.878, ""3"": 6.687, ""4"": 4.937}",2,特上卓,2,特上卓 (2/2半荘),"{""特上卓"": 2}"
monohon,118,上級卓,118,4,0.26159107225969097,0.26159107225969097,0.23984576152941647,2.4675035000000003,2.9232997372881355,5.826267199999999,0.44121200000000016,1.920801,0.3249338265762049,0.31876499999999997,"{""0"": 36, ""1"": 36, ""2"": 35, ""3"": 11}","{""0"": 1.026, ""1"": 2.947, ""2"": 2.553, ""3"": 2.628}","{""0"": 4.742, ""1"": 6.598, ""2"": 4.133, ""3"": 4.569}",1,上級卓,1,上級卓 (1/1半荘),"{""上級卓"": 1}"
オカルト研究会,118,特上卓,118,5,0.1592097433690301,0.1592097433690301,0.14266148870553705,2.220363,3.3337064830508476,7.7899715999999986,0.06198759999999992,2.2758585,0.38010744700945615,1.0508832499999998,"{""0"": 20, ""1"": 28, ""2"": 46, ""3"": 22, ""4"": 2}","{""0"": 0.973, ""1"": 2.873, ""2"": 3.249, ""3"": 1.85, ""4"": 1.794}","{""0"": 1.911, ""1"": 9.867, ""2"": 8.301, ""3"": 3.774, ""4"": 1.925}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
おうもう,116,特上卓,116,5,0.04906376092696991,0.04906376092696991,0.03108178648763137,2.1103940000000003,2.5831494310344825,4.5480944999999995,0.2584491499999997,1.3854095,0.22553211668364004,-0.4672345,"{""0"": 22, ""1"": 36, ""2"": 30, ""3"": 25, ""4"": 3}","{""0"": 1.786, ""1"": 2.05, ""2"": 2.512, ""3"": 1.864, ""4"": 3.171}","{""0"": 4.908, ""1"": 5.161, ""2"": 4.4, ""3"": 2.97, ""4"": 7.456}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
itsulove,115,上級卓,115,5,0.22065515414665313,0.22065515414665313,0.1885794722935657,3.482215,4.04397595652174,6.944344800000003,0.07686104999999982,1.409952,0.1874199348038696,0.43270649999999966,"{""0"": 19, ""1"": 30, ""2"": 48, ""3"": 17, ""4"": 1}","{""0"": 2.308, ""1"": 3.611, ""2"": 3.695, ""3"": 3.718, ""4"": 2.639}","{""0"": 5.259, ""1"": 6.457, ""2"": 7.917, ""3"": 6.67, ""4"": 2.639}",1,上級卓,1,上級卓 (1/1半荘),"{""上級卓"": 1}"
フジヤンFT,114,特上卓,114,5,0.13956560737757634,0.13956560737757634,0.12768852299501818,2.0852534999999994,2.6276535701754384,5.1310104,0.08020094999999987,1.0158955000000003,0.19048882520259608,0.49023000000000017,"{""0"": 20, ""1"": 32, ""2"": 31, ""3"": 27, ""4"": 4}","{""0"": 1.464, ""1"": 2.48, ""2"": 2.402, ""3"": 1.749, ""4"": 2.231}","{""0"": 1.844, ""1"": 5.404, ""2"": 5.636, ""3"": 3.547, ""4"": 5.051}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
175S1,113,特上卓,113,5,0.2733664147725398,0.2733664147725398,0.29052574503206446,2.632437,3.0764932300884955,5.4451728,0.2971314999999999,2.268458,0.3213254685082889,0.4853255000000001,"{""0"": 19, ""1"": 27, ""2"": 43, ""3"": 19, ""4"": 5}","{""0"": 0.929, ""1"": 3.197, ""2"": 2.759, ""3"": 2.821, ""4"": 2.602}","{""0"": 3.033, ""1"": 5.264, ""2"": 6.286, ""3"": 4.175, ""4"": 2.819}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
福瑞,111,特上卓,111,5,0.2954769690105213,0.2954769690105213,0.22123534799156794,1.6003610000000001,2.0257744594594596,3.3014859999999997,0.11554719999999996,1.21009,0.2856956046907407,0.3217954999999997,"{""0"": 18, ""1"": 30, ""2"": 34, ""3"": 22, ""4"": 7}","{""0"": 0.719, ""1"": 1.819, ""2"": 1.929, ""3"": 1.577, ""4"": 1.417}","{""0"": 1.207, ""1"": 4.302, ""2"": 2.941, ""3"": 3.049, ""4"": 4.215}",1,特上卓,1,特上卓 (1/1半荘),"{""特上卓"": 1}"
matsu_r,100,上級卓,100,5,0.18984317727549063,0.18984317727549063,0.271350423912346,3.2845560000000003,3.4648739699999997,5.153438600000001,0.19493344999999979,1.9171125,0.23914128052446873,0.5418077499999998,"{""0"": 12, ""1"": 32, ""2"": 38, ""3"": 16, ""4"": 2}","{""0"": 1.671, ""1"": 3.588, ""2"": 3.534, ""3"": 3.305, ""4"": 2.787}","{""0"": 2.505, ""1"": 5.942, ""2"": 5.222, ""3"": 3.958, ""4"": 2.88}",1,上級卓,1,上級卓 (1/1半荘),"{""上級卓"": 1}"
