player_name,user_memo,analysis_memo
梅さん129,,
ふぁび2,,
正氣十足,,
oliver,特上8段。鳴き無し押しがちでダマとかある。,
純粋居飛車党,くそダマ満貫,
たこるん,,
おうもう,,
しんせんじにく,,
いいけん,,
lsajie,,
tampopo3,ラス目くっそダマ。多分他もダマ気味になってる,
緑の猿人,,
ぱむぱむ,,
洪湖,,
むらしゅー,,
alice7,,
Kanako_,,
やんわり,,
怯怯,,
FridaW89,,
mlicca,,
怪我の功名,,
かず坊,,
掉段皮人,,
teriri,,
かなかなカナ？,,
k2xx,,
alpha@de,,
'Chalo',謎モギリー両面、67で789三色手替わり見てた？,
天江衣@門前打点,,
厚岸,,
ponponsn,,
鳳凰双花紅棍,,
かネ,,
sjnmp001,通信遅延マン。ラグみたいなのこの人の捨て牌で起きまくったりする,
今、急所が埋まる,,
ざきゆう,,
田中TNKチリコ,,
鳥澄珠烏,,
hayajin6,,
なかやまくんに君,,
岬の珊瑚,,
example,ラグ糞長め？→ラグ長めだとここのラグっぽい？,
しろてぃー,,
女騎士の意地,,
めーーぷる,,
おっお,ぬるい。くそダマっぽい,
ルイコスタ,染にも先切り押しできる四段,
こむぎです。,,
ヤギっぽいジジイ,,
さきたま林檎,,
ライムちゃん,,
縁浩,,
シエロクリスタ,,
suzulove,四段なのに打点手組上手いかも,
JOJO1985,,
チチヤス,,
ぼうちゃん,"ドラションパイオタ風うっかり押し？まあ四段はうっかりよくある
ラフ押し過ぎ。単騎聴牌降りれない
やっぱり結構押しすぎ
和了に向かい過ぎ",
konmo,きもブクブク？　くそダマ,
我是高人,,
shunmoko,,
Run2,,
ますださん,,
地獄西単騎,,
ふうちゃんパパ,,
しみしみ,,
おおはやり,,
gobougbu,ダブ東3p待ちで押しすぎ、シャンテンから押してる。,
もってけ泥棒,,
おりどん,,
Lorraine,,
ろぱちょ,単品赤々ダマ。→リーチの愚形率や低打点率が上がる,
okita,ぬるめ、赤切り1-4とかに一発で,
maochong,,
めろんたろん,,
まるひろ,,
複雑なワキ毛,タメロン返し、変なダマ一盃口ペンチャン,
コンビーフ三郎,,
黒トリガー,,
明々星,,
Maniac,くそダマ。平和ドラ1も,
rire,,
9-bay,,
大理石,,
アルビノ1121,,
Mild7,"六段なのに愚形くそダマ間5s。トップ目はトン愚形ダマかも？
トップ目はトン3でも",
wxlsz,,
yamatter,,
ドロテア,,
志云,,
太陽海,,
iron12,ぬるいかな。筋のペンチャンドラ打ち,
アニカとぼくら,ぬるい。間違った鳴き読みで押しすぎかな？,
大森人,"くそ愚形三色手替わり待ち。六段なのに
他両面でもくそダマ",
りゅうパパ,,
ブチギレリーチ,,
MiNeO,,
差し上げます,,
沼野智樹裕樹直樹,,
まるーん,,
51,,
鈴木だろう,,
カミナリ,,
zanshin,,
mitsurou,,
Poco,,
ワザチョン,,
Doraemon,,
khanhdz,,
ハナヒバナ,,
にょーん,,
のんびり北から,,
OVPEリーダー,,
BIGY,,
俺麻雀,,
15cake,,
若竹_白荷,,
Apollo6,,
WIN神,,
Hellcat,,
おがわくん,,
ふろんがーぜっと,,
かねだ,,
yurimog,,
JunKo,,
鏡の笑顔,,
funa_,,
あたらしいおさけ,,
You-ta,,
長山犬樹,,
